antecedent,consequent,support,confidence,lift
['cream_cheese_'],['yogurt'],0.0,0.07,0.75
['rolls/buns'],['cream_cheese_'],0.0,0.02,0.68
['cream_cheese_'],['rolls/buns'],0.0,0.08,0.68
['cream_cheese_'],['other_vegetables'],0.0,0.09,0.7
['other_vegetables'],['cream_cheese_'],0.0,0.02,0.7
['cream_cheese_'],['whole_milk'],0.0,0.12,0.72
['whole_milk'],['cream_cheese_'],0.0,0.02,0.72
['white_bread'],['domestic_eggs'],0.0,0.04,1.1
['domestic_eggs'],['white_bread'],0.0,0.03,1.1
['white_bread'],['tropical_fruit'],0.0,0.04,0.6
['tropical_fruit'],['white_bread'],0.0,0.01,0.6
['white_bread'],['brown_bread'],0.0,0.04,1.09
['brown_bread'],['white_bread'],0.0,0.03,1.09
['white_bread'],['whipped/sour_cream'],0.0,0.04,0.94
['whipped/sour_cream'],['white_bread'],0.0,0.02,0.94
['white_bread'],['yogurt'],0.0,0.04,0.5
['yogurt'],['white_bread'],0.0,0.01,0.5
['white_bread'],['citrus_fruit'],0.0,0.05,0.87
['citrus_fruit'],['white_bread'],0.0,0.02,0.87
['white_bread'],['root_vegetables'],0.0,0.05,0.73
['root_vegetables'],['white_bread'],0.0,0.02,0.73
['white_bread'],['bottled_water'],0.0,0.05,0.84
['bottled_water'],['white_bread'],0.0,0.02,0.84
['white_bread'],['sausage'],0.0,0.06,0.94
['sausage'],['white_bread'],0.0,0.02,0.94
['white_bread'],['soda'],0.0,0.06,0.63
['soda'],['white_bread'],0.0,0.02,0.63
['white_bread'],['canned_beer'],0.0,0.06,1.33
['canned_beer'],['white_bread'],0.0,0.03,1.33
['white_bread'],['rolls/buns'],0.0,0.09,0.77
['rolls/buns'],['white_bread'],0.0,0.02,0.77
['white_bread'],['other_vegetables'],0.0,0.11,0.85
['other_vegetables'],['white_bread'],0.0,0.02,0.85
['white_bread'],['whole_milk'],0.0,0.13,0.78
['whole_milk'],['white_bread'],0.0,0.02,0.78
['chicken'],['bottled_beer'],0.0,0.04,0.77
['bottled_beer'],['chicken'],0.0,0.02,0.77
['domestic_eggs'],['chicken'],0.0,0.03,0.94
['chicken'],['domestic_eggs'],0.0,0.04,0.94
['root_vegetables'],['chicken'],0.0,0.01,0.5
['chicken'],['root_vegetables'],0.0,0.04,0.5
['chicken'],['margarine'],0.0,0.04,1.08
['margarine'],['chicken'],0.0,0.03,1.08
['pip_fruit'],['chicken'],0.0,0.02,0.76
['chicken'],['pip_fruit'],0.0,0.04,0.76
['chicken'],['sausage'],0.0,0.04,0.61
['sausage'],['chicken'],0.0,0.02,0.61
['chicken'],['curd'],0.0,0.04,1.17
['curd'],['chicken'],0.0,0.03,1.17
['canned_beer'],['chicken'],0.0,0.02,0.84
['chicken'],['canned_beer'],0.0,0.04,0.84
['citrus_fruit'],['chicken'],0.0,0.02,0.79
['chicken'],['citrus_fruit'],0.0,0.04,0.79
['pastry'],['chicken'],0.0,0.02,0.86
['chicken'],['pastry'],0.0,0.05,0.86
['shopping_bags'],['chicken'],0.0,0.03,0.92
['chicken'],['shopping_bags'],0.0,0.05,0.92
['chicken'],['whipped/sour_cream'],0.0,0.05,1.02
['whipped/sour_cream'],['chicken'],0.0,0.03,1.02
['bottled_water'],['chicken'],0.0,0.02,0.76
['chicken'],['bottled_water'],0.0,0.05,0.76
['chicken'],['tropical_fruit'],0.0,0.05,0.72
['tropical_fruit'],['chicken'],0.0,0.02,0.72
['yogurt'],['chicken'],0.0,0.02,0.72
['chicken'],['yogurt'],0.0,0.06,0.72
['chicken'],['soda'],0.0,0.08,0.75
['soda'],['chicken'],0.0,0.02,0.75
['other_vegetables'],['chicken'],0.0,0.02,0.62
['chicken'],['other_vegetables'],0.0,0.08,0.62
['rolls/buns'],['chicken'],0.0,0.03,0.89
['chicken'],['rolls/buns'],0.0,0.1,0.89
['whole_milk'],['chicken'],0.0,0.02,0.72
['chicken'],['whole_milk'],0.0,0.12,0.72
['frozen_vegetables'],['tropical_fruit'],0.0,0.04,0.55
['tropical_fruit'],['frozen_vegetables'],0.0,0.02,0.55
['bottled_water'],['frozen_vegetables'],0.0,0.02,0.6
['frozen_vegetables'],['bottled_water'],0.0,0.04,0.6
['frozen_vegetables'],['frankfurter'],0.0,0.04,0.97
['frankfurter'],['frozen_vegetables'],0.0,0.03,0.97
['frozen_vegetables'],['beef'],0.0,0.04,1.3
['beef'],['frozen_vegetables'],0.0,0.04,1.3
['frozen_vegetables'],['pip_fruit'],0.0,0.05,0.95
['pip_fruit'],['frozen_vegetables'],0.0,0.03,0.95
['frozen_vegetables'],['canned_beer'],0.0,0.05,0.98
['canned_beer'],['frozen_vegetables'],0.0,0.03,0.98
['frozen_vegetables'],['bottled_beer'],0.0,0.05,1.08
['bottled_beer'],['frozen_vegetables'],0.0,0.03,1.08
['frozen_vegetables'],['citrus_fruit'],0.0,0.06,1.04
['citrus_fruit'],['frozen_vegetables'],0.0,0.03,1.04
['frozen_vegetables'],['soda'],0.0,0.07,0.7
